channel_key,upload_rank,age_days
f1f57fe4ca68,3,0.42
f1f57fe4ca68,4,1.32
f1f57fe4ca68,5,1.44
f1f57fe4ca68,6,1.47
f1f57fe4ca68,7,2.28
f1f57fe4ca68,8,2.33
f1f57fe4ca68,9,2.48
f1f57fe4ca68,10,3.32
f1f57fe4ca68,11,3.44
f1f57fe4ca68,12,3.51
f1f57fe4ca68,13,4.25
f1f57fe4ca68,14,4.4
f1f57fe4ca68,15,4.5
f1f57fe4ca68,16,5.25
f1f57fe4ca68,17,5.4
f1f57fe4ca68,18,5.48
f1f57fe4ca68,19,6.3
f1f57fe4ca68,20,6.34
f1f57fe4ca68,21,6.45
f1f57fe4ca68,22,7.32
f1f57fe4ca68,23,7.38
f1f57fe4ca68,24,7.44
f1f57fe4ca68,25,8.32
f1f57fe4ca68,26,8.4
f1f57fe4ca68,27,8.47
f1f57fe4ca68,28,9.32
f1f57fe4ca68,29,9.44
f1f57fe4ca68,30,9.54
f1f57fe4ca68,31,10.21
f1f57fe4ca68,32,10.29
f1f57fe4ca68,33,10.56
f1f57fe4ca68,34,11.32
f1f57fe4ca68,35,11.38
f1f57fe4ca68,36,11.45
f1f57fe4ca68,37,12.23
f1f57fe4ca68,38,12.3
f1f57fe4ca68,39,12.49
f1f57fe4ca68,40,13.32
f1f57fe4ca68,41,13.46
f1f57fe4ca68,42,13.82
f1f57fe4ca68,43,14.4
f1f57fe4ca68,44,14.61
f1f57fe4ca68,45,14.82
f1f57fe4ca68,46,15.4
f1f57fe4ca68,47,15.61
f1f57fe4ca68,48,15.82
f1f57fe4ca68,49,16.4
f1f57fe4ca68,50,16.61
aff4ae88474e,1,0.32
aff4ae88474e,2,1.32
aff4ae88474e,3,2.32
aff4ae88474e,4,3.32
aff4ae88474e,5,4.32
aff4ae88474e,6,5.32
aff4ae88474e,7,6.32
aff4ae88474e,8,7.32
aff4ae88474e,9,8.32
aff4ae88474e,10,9.32
aff4ae88474e,11,10.32
aff4ae88474e,12,11.32
aff4ae88474e,13,11.53
aff4ae88474e,14,12.32
aff4ae88474e,15,13.32
aff4ae88474e,16,14.32
aff4ae88474e,17,15.32
aff4ae88474e,18,16.32
aff4ae88474e,19,17.32
aff4ae88474e,20,18.32
aff4ae88474e,21,19.32
aff4ae88474e,22,20.32
aff4ae88474e,23,22.32
aff4ae88474e,24,23.32
aff4ae88474e,25,24.32
aff4ae88474e,26,25.32
aff4ae88474e,27,27.32
aff4ae88474e,28,28.32
aff4ae88474e,29,29.32
aff4ae88474e,30,30.32
aff4ae88474e,31,31.32
aff4ae88474e,32,32.32
aff4ae88474e,33,34.32
aff4ae88474e,34,36.32
aff4ae88474e,35,38.32
aff4ae88474e,36,39.32
aff4ae88474e,37,40.32
aff4ae88474e,38,42.32
aff4ae88474e,39,43.32
aff4ae88474e,40,44.32
aff4ae88474e,41,45.32
aff4ae88474e,42,47.32
aff4ae88474e,43,49.32
aff4ae88474e,44,51.27
aff4ae88474e,45,62.32
aff4ae88474e,46,87.32
aff4ae88474e,47,91.36
aff4ae88474e,48,96.05
aff4ae88474e,49,147.32
aff4ae88474e,50,153.44
152e9280ffa3,1,0.28
152e9280ffa3,2,0.36
152e9280ffa3,3,0.41
152e9280ffa3,4,1.22
152e9280ffa3,5,1.32
152e9280ffa3,6,1.4
152e9280ffa3,7,2.2
152e9280ffa3,8,2.24
152e9280ffa3,9,2.44
152e9280ffa3,10,2.56
152e9280ffa3,11,3.24
152e9280ffa3,12,3.4
152e9280ffa3,13,3.48
152e9280ffa3,14,3.56
152e9280ffa3,15,4.23
152e9280ffa3,16,4.42
152e9280ffa3,17,5.33
152e9280ffa3,18,5.43
152e9280ffa3,19,6.16
152e9280ffa3,20,6.31
152e9280ffa3,21,6.38
152e9280ffa3,22,7.23
152e9280ffa3,23,7.32
152e9280ffa3,24,7.44
152e9280ffa3,25,8.23
152e9280ffa3,26,8.35
152e9280ffa3,27,8.43
152e9280ffa3,28,9.25
152e9280ffa3,29,9.42
152e9280ffa3,30,9.58
152e9280ffa3,31,10.15
152e9280ffa3,32,10.35
152e9280ffa3,33,10.5
152e9280ffa3,34,11.33
152e9280ffa3,35,11.41
152e9280ffa3,36,12.21
152e9280ffa3,37,12.33
152e9280ffa3,38,12.41
152e9280ffa3,39,13.2
152e9280ffa3,40,13.35
152e9280ffa3,41,13.43
152e9280ffa3,42,14.21
152e9280ffa3,43,14.32
152e9280ffa3,44,14.43
152e9280ffa3,45,15.19
152e9280ffa3,46,15.31
152e9280ffa3,47,15.44
152e9280ffa3,48,16.32
152e9280ffa3,49,16.5
152e9280ffa3,50,17.21
7e8651f55712,1,0.11
7e8651f55712,2,0.19
7e8651f55712,3,0.28
7e8651f55712,4,0.4
7e8651f55712,5,1.11
7e8651f55712,6,1.19
7e8651f55712,7,1.28
7e8651f55712,8,1.4
7e8651f55712,9,2.11
7e8651f55712,10,2.19
7e8651f55712,11,2.28
7e8651f55712,12,2.4
7e8651f55712,13,3.19
7e8651f55712,14,3.28
7e8651f55712,15,3.4
7e8651f55712,16,4.07
7e8651f55712,17,4.19
7e8651f55712,18,4.28
7e8651f55712,19,4.4
7e8651f55712,20,5.07
7e8651f55712,21,5.19
7e8651f55712,22,5.28
7e8651f55712,23,5.4
7e8651f55712,24,6.07
7e8651f55712,25,6.19
7e8651f55712,26,6.28
7e8651f55712,27,6.4
7e8651f55712,28,7.07
7e8651f55712,29,7.19
7e8651f55712,30,7.28
7e8651f55712,31,7.4
7e8651f55712,32,8.07
7e8651f55712,33,8.19
7e8651f55712,34,8.28
7e8651f55712,35,8.4
7e8651f55712,36,9.07
7e8651f55712,37,9.19
7e8651f55712,38,9.28
7e8651f55712,39,9.4
7e8651f55712,40,10.07
7e8651f55712,41,10.19
7e8651f55712,42,10.28
7e8651f55712,43,10.4
7e8651f55712,44,11.07
7e8651f55712,45,11.19
7e8651f55712,46,11.28
7e8651f55712,47,11.4
7e8651f55712,48,12.19
7e8651f55712,49,12.28
7e8651f55712,50,12.4
7f0585c7268f,1,0.42
7f0585c7268f,2,1.42
7f0585c7268f,3,2.42
7f0585c7268f,4,3.42
7f0585c7268f,5,4.42
7f0585c7268f,6,5.42
7f0585c7268f,7,6.42
7f0585c7268f,8,7.42
7f0585c7268f,9,9.42
7f0585c7268f,10,10.41
7f0585c7268f,11,11.43
7f0585c7268f,12,12.42
7f0585c7268f,13,13.42
7f0585c7268f,14,14.42
7f0585c7268f,15,15.42
7f0585c7268f,16,16.4
7f0585c7268f,17,17.42
7f0585c7268f,18,18.42
7f0585c7268f,19,19.42
7f0585c7268f,20,20.42
7f0585c7268f,21,21.42
7f0585c7268f,22,22.42
7f0585c7268f,23,23.41
7f0585c7268f,24,24.42
7f0585c7268f,25,25.42
7f0585c7268f,26,26.44
7f0585c7268f,27,27.44
7f0585c7268f,28,28.43
7f0585c7268f,29,29.44
7f0585c7268f,30,30.44
7f0585c7268f,31,31.44
7f0585c7268f,32,32.44
7f0585c7268f,33,33.42
7f0585c7268f,34,34.43
7f0585c7268f,35,35.44
7f0585c7268f,36,36.43
7f0585c7268f,37,37.43
7f0585c7268f,38,38.43
7f0585c7268f,39,39.43
7f0585c7268f,40,40.44
7f0585c7268f,41,41.43
7f0585c7268f,42,42.44
7f0585c7268f,43,43.44
7f0585c7268f,44,44.44
7f0585c7268f,45,45.43
7f0585c7268f,46,46.43
7f0585c7268f,47,47.45
7f0585c7268f,48,48.44
7f0585c7268f,49,50.44
7f0585c7268f,50,51.44
6bd841b33024,1,0.34
6bd841b33024,2,0.35
6bd841b33024,3,0.35
6bd841b33024,4,0.35
6bd841b33024,5,0.35
6bd841b33024,6,0.35
6bd841b33024,7,0.36
6bd841b33024,8,0.36
6bd841b33024,9,0.37
6bd841b33024,10,0.37
6bd841b33024,11,0.38
6bd841b33024,12,0.38
6bd841b33024,13,0.39
